periodo_s11;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
20141;47;14;401;2871;3170;1716;904;535;444;355
20151;0;7;11;379;3088;3048;1634;889;666;468
20161;0;0;7;8;391;3098;2756;1447;991;627
20171;0;0;0;2;6;401;2899;2537;2004;1060
20181;0;0;0;0;1;5;446;2515;2801;1842
20191;0;0;0;0;0;4;3;373;2589;3035
20192;0;0;0;0;0;24;52;715;10582;42671
20201;0;0;0;0;0;0;1;1;399;2682
20202;0;0;0;0;0;0;27;50;673;11834
20211;0;0;0;0;0;0;0;0;2;416
20212;0;0;0;0;0;0;0;39;63;728
20231;0;0;0;0;0;0;0;0;0;5
20232;0;0;0;0;0;0;0;0;0;29
