variable;n_faltantes;pct_faltantes;n_no_preguntado;n_no_respondido;distincion_disponible
estu_etnia_spro;121486;98.38;14952;106534;TRUE
estu_etnia_s11;100881;81.69;0;100881;TRUE
estu_areareside;71296;57.74;;;FALSE
punt_global_s11;10457;8.47;10457;0;TRUE
fami_estrato_num_spro;4233;3.43;;;FALSE
fami_estrato_num_s11;3803;3.08;;;FALSE
fami_estratovivienda_spro;3769;3.05;;;FALSE
fami_estratovivienda_s11;3074;2.49;;;FALSE
estu_inst_departamento;1666;1.35;0;1666;TRUE
estu_inst_municipio;1666;1.35;0;1666;TRUE
inst_cod_institucion;1666;1.35;0;1666;TRUE
punt_ingles;120;0.1;0;120;TRUE
mod_comuni_escrita_punt;108;0.09;0;108;TRUE
cole_jornada;57;0.05;0;57;TRUE
punt_global_spro;48;0.04;47;1;TRUE
mod_ingles_punt;36;0.03;0;36;TRUE
estu_consecutivo_sbpro;0;0;;;FALSE
estu_consecutivo_sb11;0;0;;;FALSE
estu_genero_s11;0;0;0;0;TRUE
periodo_s11;0;0;;;FALSE
punt_c_naturales;0;0;0;0;TRUE
punt_sociales_ciudadanas;0;0;0;0;TRUE
punt_lectura_critica;0;0;0;0;TRUE
punt_matematicas;0;0;0;0;TRUE
cole_area_ubicacion;0;0;0;0;TRUE
cole_depto_ubicacion;0;0;0;0;TRUE
cole_mcpio_ubicacion;0;0;0;0;TRUE
cole_naturaleza;0;0;0;0;TRUE
cole_codigo_icfes;0;0;0;0;TRUE
archivo_origen_s11;0;0;;;FALSE
prueba_s11;0;0;;;FALSE
periodo_valor_s11;0;0;;;FALSE
estu_genero_spro;0;0;0;0;TRUE
periodo_spro;0;0;;;FALSE
mod_competen_ciudada_punt;0;0;0;0;TRUE
mod_razona_cuantitat_punt;0;0;0;0;TRUE
mod_lectura_critica_punt;0;0;0;0;TRUE
archivo_origen_spro;0;0;;;FALSE
prueba_spro;0;0;;;FALSE
periodo_valor_spro;0;0;;;FALSE
rezago_meses;0;0;;;FALSE
rezago_anios;0;0;;;FALSE
rezago_implausible;0;0;;;FALSE
