periodo;total_saber11;emparejados;tasa_vinculacion;regimen
20141;88343;10457;0.1184;regimen_normal
20151;108259;10190;0.0941;regimen_normal
20161;74224;9325;0.1256;regimen_normal
20171;85149;8909;0.1046;regimen_normal
20181;65854;7610;0.1156;regimen_normal
20191;66104;6004;0.0908;regimen_normal
20192;614789;54044;0.0879;regimen_normal
20201;46221;3083;0.0667;regimen_normal
20202;556891;12584;0.0226;regimen_normal
20211;58708;418;0.0071;regimen_normal
20212;606030;830;0.0014;regimen_normal
20231;77555;5;1e-04;regimen_normal
20232;602093;29;0;censura_por_la_derecha_probable
20241;84072;0;0;censura_por_la_derecha_probable
20242;592436;0;0;censura_por_la_derecha_probable
20251;85678;0;0;censura_por_la_derecha_probable
20252;576213;0;0;censura_por_la_derecha_probable
